coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Rick Adelman,SAC,4,12,82,61,21,296,187,109,905,544,361,0.601,16.0,10.0,6.0,34.0,17.0,17.0,103.0,53.0,50.0,2002,SAC,Kings,SAC2002,2002-2003,4.0,5.0,6.0,15.0,59.0,23.0,Second Round,2.0,0.0,12.0,2.0,1.0,27.5,82.0,50.0,32.0,3936.0,103.2,100.9,2.3,62.0,1.48,17.3,27.7,67.6,48.1,15.9,49.7,54.0,91.38,52.3
Gregg Popovich,SAS,6,6,82,58,24,442,279,163,442,279,163,0.631,10.0,4.0,6.0,53.0,31.0,22.0,53.0,31.0,22.0,2002,SAS,Spurs,SAS2002,2002-2003,4.0,4.0,5.0,13.0,60.0,22.0,NBA Champion,1.0,1.0,7.0,4.0,2.0,29.3,82.0,36.0,46.0,3986.0,97.3,99.0,-1.7,59.4,1.37,16.5,29.7,71.0,50.5,16.6,46.3,50.1,88.47,50.1
Nate McMillan,SEA,2,2,82,45,37,149,83,66,149,83,66,0.557,5.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,2002,SEA,SuperSonics,SEA2002,2002-2003,3.0,7.0,4.0,14.0,40.0,42.0,Lottery,1.0,0.0,6.0,6.0,2.0,25.5,82.0,41.0,41.0,3981.0,105.3,105.6,-0.3,60.7,1.6,17.7,28.7,67.9,49.1,15.2,50.7,54.4,91.51,50.2
Lenny Wilkens,TOR,2,29,82,42,40,164,89,75,2324,1268,1056,0.546,5.0,2.0,3.0,17.0,8.0,9.0,174.0,80.0,94.0,2002,TOR,Raptors,TOR2002,2002-2003,4.0,8.0,4.0,16.0,24.0,58.0,Lottery,1.0,0.0,10.0,6.0,0.0,27.6,82.0,57.0,25.0,3976.0,110.3,106.0,4.3,56.6,1.83,16.9,28.5,68.3,48.7,12.7,50.7,55.3,94.36,51.7
Jerry Sloan,UTA,14,17,82,44,38,1099,734,365,1314,828,486,0.63,4.0,1.0,3.0,147.0,75.0,72.0,153.0,77.0,76.0,2002,UTA,Jazz,UTA2002,2002-2003,9.0,0.0,6.0,15.0,47.0,35.0,First Round,0.0,0.0,11.0,2.0,2.0,28.1,82.0,30.0,52.0,3961.0,100.4,104.6,-4.2,61.1,1.44,16.7,29.2,68.4,48.9,15.9,46.8,51.4,90.78,46.6
Doug Collins,WAS,1,7,82,37,45,82,37,45,537,295,242,0.5489999999999999,,,,,,,38.0,15.0,23.0,2002,WAS,Wizards,WAS2002,2002-2003,5.0,3.0,6.0,14.0,37.0,45.0,Lottery,1.0,0.0,11.0,3.0,0.0,26.5,82.0,36.0,46.0,3966.0,101.8,102.6,-0.7,59.3,1.53,17.1,32.7,67.2,49.8,15.7,47.2,51.0,92.74,48.6
Lon Kruger,ATL,3,3,27,11,16,191,69,122,191,69,122,0.361,,,,,,,,,,2003,ATL,Hawks,ATL2003,2003-2004,5.0,4.0,6.0,15.0,28.0,54.0,Lottery,0.0,0.0,10.0,5.0,0.0,26.7,82.0,59.0,23.0,3956.0,106.5,99.5,6.9,63.7,1.55,18.2,33.5,69.3,52.3,16.6,50.1,54.6,91.03,55.9
Terry Stotts,ATL,1,1,55,24,31,55,24,31,55,24,31,0.436,,,,,,,,,,2003,ATL,Hawks,ATL2003,2003-2004,5.0,4.0,6.0,15.0,28.0,54.0,Lottery,0.0,0.0,10.0,5.0,0.0,26.7,82.0,59.0,23.0,3956.0,106.5,99.5,6.9,63.7,1.55,18.2,33.5,69.3,52.3,16.6,50.1,54.6,91.03,55.9
Jim O'Brien,BOS,3,3,82,44,38,212,117,95,212,117,95,0.552,10.0,4.0,6.0,26.0,13.0,13.0,26.0,13.0,13.0,2003,BOS,Celtics,BOS2003,2003-2004,4.0,9.0,2.0,15.0,36.0,46.0,First Round,1.0,0.0,10.0,3.0,2.0,25.2,82.0,35.0,47.0,3971.0,102.2,104.5,-2.3,62.5,1.49,17.2,32.1,68.8,50.4,16.1,47.6,51.7,95.95,48.3
Bill Cartwright,CHI,2,2,82,30,52,137,47,90,137,47,90,0.34299999999999997,,,,,,,,,,2003,CHI,Bulls,CHI2003,2003-2004,5.0,3.0,7.0,15.0,23.0,59.0,Lottery,0.0,0.0,9.0,1.0,5.0,25.8,82.0,41.0,41.0,3951.0,101.1,100.3,0.8,53.9,1.18,15.3,34.4,66.9,50.6,17.8,47.3,51.6,98.68,49.7
John Lucas,CLE,2,6,42,8,34,124,37,87,431,173,258,0.401,,,,,,,14.0,6.0,8.0,2003,CLE,Cavaliers,CLE2003,2003-2004,6.0,5.0,3.0,14.0,35.0,47.0,Lottery,0.0,0.0,7.0,5.0,2.0,24.8,82.0,42.0,40.0,3971.0,106.5,106.2,0.3,58.3,1.51,17.1,32.7,66.7,49.7,15.8,49.4,53.9,94.27,49.8
Keith Smart,CLE,1,1,40,9,31,40,9,31,40,9,31,0.225,,,,,,,,,,2003,CLE,Cavaliers,CLE2003,2003-2004,6.0,5.0,3.0,14.0,35.0,47.0,Lottery,0.0,0.0,7.0,5.0,2.0,24.8,82.0,42.0,40.0,3971.0,106.5,106.2,0.3,58.3,1.51,17.1,32.7,66.7,49.7,15.8,49.4,53.9,94.27,49.8
Don Nelson,DAL,6,25,82,60,22,444,245,199,1924,1096,828,0.57,20.0,10.0,10.0,38.0,18.0,20.0,150.0,69.0,81.0,2003,DAL,Mavericks,DAL2003,2003-2004,3.0,8.0,3.0,15.0,52.0,30.0,First Round,1.0,0.0,11.0,1.0,3.0,27.2,82.0,40.0,42.0,3946.0,104.7,105.2,-0.5,56.7,1.61,16.7,28.1,64.7,46.6,14.2,49.0,53.2,96.64,49.3
Jeff Bzdelik,DEN,1,1,82,17,65,82,17,65,82,17,65,0.207,,,,,,,,,,2003,DEN,Nuggets,DEN2003,2003-2004,5.0,2.0,7.0,15.0,43.0,39.0,First Round,0.0,0.0,8.0,5.0,2.0,25.6,82.0,50.0,32.0,3966.0,100.9,99.5,1.5,54.8,1.32,15.8,27.7,69.9,49.6,16.0,48.2,52.7,90.54,50.7
Rick Carlisle,DET,2,2,82,50,32,164,100,64,164,100,64,0.61,17.0,8.0,9.0,27.0,12.0,15.0,27.0,12.0,15.0,2003,DET,Pistons,DET2003,2003-2004,3.0,5.0,5.0,13.0,54.0,28.0,NBA Champion,1.0,0.0,8.0,2.0,3.0,27.0,82.0,67.0,15.0,3961.0,105.4,96.4,9.0,61.2,1.68,17.4,32.4,70.5,51.8,14.6,48.4,52.5,95.04,57.3
Eric Musselman,GSW,1,1,82,38,44,82,38,44,82,38,44,0.46299999999999997,,,,,,,,,,2003,GSW,Warriors,GSW2003,2003-2004,5.0,6.0,4.0,15.0,37.0,45.0,Lottery,0.0,0.0,8.0,5.0,2.0,27.5,82.0,29.0,53.0,3961.0,101.8,105.2,-3.4,58.8,1.34,16.4,32.9,68.6,50.6,17.0,47.6,52.1,94.33,47.1
Rudy Tomjanovich,HOU,12,12,82,43,39,900,503,397,900,503,397,0.5589999999999999,,,,90.0,51.0,39.0,90.0,51.0,39.0,2003,HOU,Rockets,HOU2003,2003-2004,4.0,2.0,7.0,13.0,45.0,37.0,First Round,2.0,0.0,10.0,1.0,2.0,28.1,82.0,53.0,29.0,3971.0,103.5,97.1,6.4,61.6,1.48,17.3,30.1,70.3,51.2,16.2,48.8,53.5,92.11,55.6
Isiah Thomas,IND,3,3,82,48,34,246,131,115,246,131,115,0.5329999999999999,6.0,2.0,4.0,15.0,5.0,10.0,15.0,5.0,10.0,2003,IND,Pacers,IND2003,2003-2004,10.0,3.0,2.0,15.0,61.0,21.0,Conference Finals,2.0,0.0,12.0,3.0,0.0,25.9,82.0,19.0,63.0,3951.0,98.0,106.5,-8.4,61.8,1.42,16.3,34.6,67.3,49.9,16.3,44.4,48.4,97.11,43.1
Alvin Gentry,LAC,3,7,58,19,39,222,89,133,403,177,226,0.439,,,,,,,5.0,2.0,3.0,2003,LAC,Clippers,LAC2003,2003-2004,6.0,3.0,5.0,14.0,28.0,54.0,Lottery,0.0,0.0,7.0,6.0,1.0,23.9,82.0,44.0,38.0,3966.0,103.8,102.9,0.9,69.7,1.48,18.4,36.2,68.3,52.1,17.8,47.2,52.9,91.75,53.0
Dennis Johnson,LAC,1,1,24,8,16,24,8,16,24,8,16,0.33299999999999996,,,,,,,,,,2003,LAC,Clippers,LAC2003,2003-2004,6.0,3.0,5.0,14.0,28.0,54.0,Lottery,0.0,0.0,7.0,6.0,1.0,23.9,82.0,44.0,38.0,3966.0,103.8,102.9,0.9,69.7,1.48,18.4,36.2,68.3,52.1,17.8,47.2,52.9,91.75,53.0
Phil Jackson,LAL,4,13,82,50,32,328,231,97,1066,776,290,0.728,12.0,6.0,6.0,70.0,51.0,19.0,222.0,162.0,60.0,2003,LAL,Lakers,LAL2003,2003-2004,6.0,0.0,8.0,14.0,56.0,26.0,NBA Finals (Loss),2.0,0.0,10.0,3.0,1.0,28.3,82.0,56.0,26.0,3946.0,106.8,101.7,5.1,60.9,1.6,17.5,27.6,69.1,49.2,14.9,50.3,55.2,94.7,53.4
Sidney Lowe,MEM,3,5,8,0,8,172,46,126,307,79,228,0.257,,,,,,,,,,2003,MEM,Grizzlies,MEM2003,2003-2004,5.0,7.0,3.0,15.0,50.0,32.0,First Round,0.0,0.0,12.0,1.0,2.0,24.5,82.0,53.0,29.0,3961.0,102.7,97.3,5.4,67.8,1.53,18.8,31.6,67.6,50.0,17.3,49.1,53.2,95.67,54.2
Hubie Brown,MEM,1,13,74,28,46,74,28,46,993,473,520,0.47600000000000003,,,,,,,59.0,31.0,28.0,2003,MEM,Grizzlies,MEM2003,2003-2004,5.0,7.0,3.0,15.0,50.0,32.0,First Round,0.0,0.0,12.0,1.0,2.0,24.5,82.0,53.0,29.0,3961.0,102.7,97.3,5.4,67.8,1.53,18.8,31.6,67.6,50.0,17.3,49.1,53.2,95.67,54.2
Pat Riley,MIA,8,21,82,25,57,624,354,270,1679,1110,569,0.6609999999999999,,,,43.0,18.0,25.0,255.0,155.0,100.0,2003,MIA,Heat,MIA2003,2003-2004,4.0,2.0,9.0,15.0,42.0,40.0,Second Round,0.0,0.0,7.0,6.0,2.0,25.9,82.0,17.0,65.0,3961.0,92.8,102.8,-10.0,63.8,1.05,15.8,33.1,67.6,49.9,20.8,44.3,49.0,90.93,41.7
George Karl,MIL,5,16,82,42,40,378,205,173,1207,708,499,0.5870000000000001,6.0,2.0,4.0,32.0,14.0,18.0,126.0,59.0,67.0,2003,MIL,Bucks,MIL2003,2003-2004,4.0,4.0,5.0,13.0,41.0,41.0,First Round,1.0,0.0,7.0,3.0,3.0,26.2,82.0,22.0,60.0,3971.0,100.7,106.7,-6.0,58.8,1.23,16.2,32.6,67.9,50.1,18.1,47.4,52.4,92.46,45.7
Flip Saunders,MIN,8,8,82,51,31,604,328,276,604,328,276,0.5429999999999999,6.0,2.0,4.0,29.0,7.0,22.0,29.0,7.0,22.0,2003,MIN,Timberwolves,MIN2003,2003-2004,3.0,3.0,8.0,14.0,58.0,24.0,Conference Finals,2.0,1.0,10.0,2.0,2.0,28.6,82.0,42.0,40.0,3966.0,105.2,103.8,1.4,56.1,1.33,15.7,29.5,69.4,49.5,16.0,49.2,54.8,97.56,50.6
Byron Scott,NJN,3,3,82,49,33,246,127,119,246,127,119,0.516,20.0,14.0,6.0,40.0,25.0,15.0,40.0,25.0,15.0,2003,NJN,Nets,NJN2003,2003-2004,8.0,1.0,5.0,14.0,47.0,35.0,Second Round,2.0,0.0,10.0,3.0,1.0,27.2,82.0,35.0,47.0,3946.0,102.9,103.9,-1.1,57.0,1.38,15.9,32.7,70.5,50.6,15.9,47.4,52.0,96.19,47.6
Paul Silas,NOH,1,8,82,47,35,82,47,35,609,286,323,0.47,6.0,2.0,4.0,6.0,2.0,4.0,29.0,13.0,16.0,2003,NOH,Hornets,NOH2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Chaney,NYK,2,11,82,37,45,145,57,88,792,322,470,0.40700000000000003,,,,,,,11.0,2.0,9.0,2003,NYK,NY Knicks,NYK2003,2003-2004,2.0,8.0,5.0,15.0,39.0,43.0,First Round,0.0,0.0,11.0,3.0,1.0,27.6,82.0,34.0,48.0,3966.0,103.3,104.2,-0.8,59.1,1.24,16.3,32.1,69.1,50.8,18.1,49.4,53.6,95.54,49.0
Doc Rivers,ORL,4,4,82,42,40,328,170,158,328,170,158,0.518,7.0,3.0,4.0,15.0,5.0,10.0,15.0,5.0,10.0,2003,ORL,Magic,ORL2003,2003-2004,4.0,7.0,4.0,15.0,21.0,61.0,Lottery,1.0,0.0,9.0,5.0,1.0,25.1,82.0,15.0,67.0,3940.0,96.1,108.0,-11.9,51.4,1.12,14.2,28.6,67.4,47.4,16.9,45.8,49.9,95.69,41.1
Larry Brown,PHI,6,24,82,48,34,460,255,205,1900,1108,792,0.583,12.0,6.0,6.0,58.0,28.0,30.0,183.0,89.0,94.0,2003,PHI,76ers,PHI2003,2003-2004,5.0,7.0,3.0,15.0,33.0,49.0,Lottery,1.0,0.0,7.0,7.0,1.0,27.0,82.0,31.0,51.0,3966.0,102.8,103.9,-1.1,56.7,1.51,15.8,29.8,65.7,47.2,14.3,46.8,51.7,94.63,47.9
Frank Johnson,PHO,2,2,82,44,38,113,55,58,113,55,58,0.48700000000000004,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2003,PHO,Suns,PHO2003,2003-2004,5.0,8.0,0.0,13.0,29.0,53.0,Lottery,0.0,0.0,9.0,4.0,0.0,23.7,82.0,45.0,37.0,3951.0,102.7,102.8,-0.1,65.3,1.71,17.7,32.4,68.6,49.9,14.7,46.4,51.1,94.3,50.0
Maurice Cheeks,POR,2,2,82,50,32,164,99,65,164,99,65,0.604,7.0,3.0,4.0,10.0,3.0,7.0,10.0,3.0,7.0,2003,POR,Trail Blazers,POR2003,2003-2004,3.0,7.0,5.0,15.0,41.0,41.0,Lottery,0.0,0.0,11.0,2.0,2.0,25.3,82.0,52.0,30.0,3966.0,102.4,98.1,4.3,65.4,1.67,18.2,32.2,68.3,50.3,15.4,47.6,51.5,93.2,53.7
Rick Adelman,SAC,5,13,82,59,23,378,246,132,987,603,384,0.611,12.0,7.0,5.0,46.0,24.0,22.0,115.0,60.0,55.0,2003,SAC,Kings,SAC2003,2003-2004,3.0,4.0,6.0,13.0,55.0,27.0,Second Round,2.0,0.0,8.0,4.0,1.0,28.4,82.0,28.0,54.0,3966.0,100.1,105.8,-5.7,51.6,1.22,14.6,33.4,69.8,51.6,16.4,46.0,50.3,93.55,46.2
Gregg Popovich,SAS,7,7,82,60,22,524,339,185,524,339,185,0.647,24.0,16.0,8.0,77.0,47.0,30.0,77.0,47.0,30.0,2003,SAS,Spurs,SAS2003,2003-2004,3.0,1.0,11.0,15.0,57.0,25.0,Second Round,1.0,0.0,7.0,4.0,4.0,27.3,82.0,32.0,50.0,3971.0,98.7,102.2,-3.5,65.2,1.36,17.3,30.8,68.5,49.6,17.7,46.8,51.6,97.36,47.5
Nate McMillan,SEA,3,3,82,40,42,231,123,108,231,123,108,0.532,,,,5.0,2.0,3.0,5.0,2.0,3.0,2003,SEA,SuperSonics,SEA2003,2003-2004,4.0,4.0,7.0,15.0,37.0,45.0,Lottery,1.0,0.0,8.0,5.0,2.0,25.2,82.0,21.0,61.0,3961.0,97.2,106.2,-9.1,64.6,1.45,17.3,29.8,68.5,48.7,16.6,45.6,49.9,91.56,43.6
Lenny Wilkens,TOR,3,30,82,24,58,246,113,133,2406,1292,1114,0.537,,,,17.0,8.0,9.0,174.0,80.0,94.0,2003,TOR,Raptors,TOR2003,2003-2004,3.0,7.0,5.0,15.0,33.0,49.0,Lottery,1.0,0.0,10.0,3.0,2.0,27.4,82.0,49.0,33.0,3966.0,99.9,98.3,1.5,60.7,1.42,16.6,33.5,68.0,50.4,16.5,45.7,50.1,94.25,50.8
Jerry Sloan,UTA,15,18,82,47,35,1181,781,400,1396,875,521,0.627,5.0,1.0,4.0,152.0,76.0,76.0,158.0,78.0,80.0,2003,UTA,Jazz,UTA2003,2003-2004,7.0,2.0,5.0,14.0,42.0,40.0,Lottery,1.0,0.0,7.0,4.0,3.0,24.9,82.0,45.0,37.0,3956.0,104.0,103.1,1.0,60.4,1.63,17.2,31.2,67.3,49.1,14.8,48.7,52.0,94.74,49.6
Doug Collins,WAS,2,8,82,37,45,164,74,90,619,332,287,0.536,,,,,,,38.0,15.0,23.0,2003,WAS,Wizards,WAS2003,2003-2004,6.0,3.0,4.0,14.0,25.0,57.0,Lottery,0.0,0.0,9.0,4.0,1.0,25.1,82.0,52.0,30.0,3966.0,102.5,99.4,3.1,64.9,1.57,18.3,30.4,69.6,50.8,16.3,49.5,53.3,91.22,54.3
Terry Stotts,ATL,2,2,82,28,54,137,52,85,137,52,85,0.38,,,,,,,,,,2004,ATL,Hawks,ATL2004,2004-2005,5.0,6.0,4.0,15.0,13.0,69.0,Lottery,0.0,0.0,9.0,4.0,2.0,26.2,82.0,55.0,27.0,3951.0,105.7,101.1,4.6,68.9,1.67,19.1,32.9,69.8,51.6,16.3,49.0,54.0,90.84,55.1
Jim O'Brien,BOS,4,4,46,22,24,258,139,119,258,139,119,0.539,,,,26.0,13.0,13.0,26.0,13.0,13.0,2004,BOS,Celtics,BOS2004,2004-2005,7.0,4.0,1.0,12.0,45.0,37.0,First Round,1.0,0.0,10.0,2.0,0.0,24.5,82.0,29.0,53.0,3971.0,107.5,113.1,-5.5,62.4,1.52,17.7,28.4,71.8,49.6,16.2,52.2,55.5,104.56,46.4
John Carroll,BOS,1,1,36,14,22,36,14,22,36,14,22,0.389,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,2004,BOS,Celtics,BOS2004,2004-2005,7.0,4.0,1.0,12.0,45.0,37.0,First Round,1.0,0.0,10.0,2.0,0.0,24.5,82.0,29.0,53.0,3971.0,107.5,113.1,-5.5,62.4,1.52,17.7,28.4,71.8,49.6,16.2,52.2,55.5,104.56,46.4
Bill Cartwright,CHI,3,3,14,4,10,151,51,100,151,51,100,0.33799999999999997,,,,,,,,,,2004,CHI,Bulls,CHI2004,2004-2005,6.0,5.0,4.0,15.0,47.0,35.0,First Round,0.0,0.0,7.0,4.0,4.0,25.4,82.0,37.0,45.0,3956.0,107.4,108.9,-1.6,60.0,1.63,17.8,27.0,72.5,50.2,15.0,52.7,55.4,103.6,49.5
Pete Myers,CHI,1,1,2,0,2,2,0,2,2,0,2,0.0,,,,,,,,,,2004,CHI,Bulls,CHI2004,2004-2005,6.0,5.0,4.0,15.0,47.0,35.0,First Round,0.0,0.0,7.0,4.0,4.0,25.4,82.0,37.0,45.0,3956.0,107.4,108.9,-1.6,60.0,1.63,17.8,27.0,72.5,50.2,15.0,52.7,55.4,103.6,49.5
Scott Skiles,CHI,1,4,66,19,47,66,19,47,261,135,126,0.517,,,,,,,13.0,5.0,8.0,2004,CHI,Bulls,CHI2004,2004-2005,6.0,5.0,4.0,15.0,47.0,35.0,First Round,0.0,0.0,7.0,4.0,4.0,25.4,82.0,37.0,45.0,3956.0,107.4,108.9,-1.6,60.0,1.63,17.8,27.0,72.5,50.2,15.0,52.7,55.4,103.6,49.5
Paul Silas,CLE,1,9,82,35,47,82,35,47,691,321,370,0.465,,,,,,,29.0,13.0,16.0,2004,CLE,Cavaliers,CLE2004,2004-2005,6.0,5.0,4.0,15.0,42.0,40.0,Lottery,2.0,0.0,9.0,4.0,2.0,25.6,82.0,48.0,34.0,3941.0,109.4,106.0,3.4,62.8,1.9,18.9,26.9,72.2,49.9,13.9,53.0,56.1,98.64,52.7
Don Nelson,DAL,7,26,82,52,30,526,297,229,2006,1148,858,0.5720000000000001,5.0,1.0,4.0,43.0,19.0,24.0,155.0,70.0,85.0,2004,DAL,Mavericks,DAL2004,2004-2005,4.0,8.0,3.0,15.0,58.0,24.0,Second Round,1.0,0.0,12.0,0.0,3.0,27.0,82.0,49.0,33.0,3956.0,111.3,107.0,4.3,62.4,2.05,18.8,25.7,72.8,49.5,12.7,53.4,56.7,100.43,53.0
Jeff Bzdelik,DEN,2,2,82,43,39,164,60,104,164,60,104,0.366,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2004,DEN,Nuggets,DEN2004,2004-2005,3.0,4.0,8.0,15.0,49.0,33.0,First Round,0.0,0.0,7.0,7.0,1.0,27.2,82.0,60.0,22.0,3956.0,113.5,104.9,8.6,60.1,1.88,18.3,25.0,75.7,51.6,13.3,55.0,58.3,103.57,55.3
Larry Brown,DET,1,25,82,54,28,82,54,28,1982,1162,820,0.586,23.0,16.0,7.0,23.0,16.0,7.0,206.0,105.0,101.0,2004,DET,Pistons,DET2004,2004-2005,3.0,4.0,7.0,14.0,54.0,28.0,NBA Finals (Loss),1.0,0.0,9.0,0.0,5.0,27.2,82.0,49.0,33.0,3956.0,102.5,99.7,2.8,68.9,1.68,18.4,28.3,71.2,50.1,15.3,47.5,53.0,95.58,54.1
Eric Musselman,GSW,2,2,82,37,45,164,75,89,164,75,89,0.457,,,,,,,,,,2004,GSW,Warriors,GSW2004,2004-2005,6.0,4.0,2.0,12.0,34.0,48.0,Lottery,0.0,0.0,12.0,0.0,0.0,24.3,82.0,48.0,34.0,3961.0,112.2,110.5,1.6,58.0,2.03,18.1,24.6,74.4,50.1,12.2,53.4,57.2,98.89,51.6
Jeff Van Gundy,HOU,1,8,82,45,37,82,45,37,502,293,209,0.584,5.0,1.0,4.0,5.0,1.0,4.0,74.0,38.0,36.0,2004,HOU,Rockets,HOU2004,2004-2005,1.0,9.0,5.0,15.0,51.0,31.0,First Round,2.0,0.0,10.0,3.0,2.0,30.4,82.0,19.0,63.0,3951.0,106.8,116.8,-10.0,53.2,1.54,15.6,28.2,73.2,49.6,13.8,50.3,54.0,97.38,43.6
Rick Carlisle,IND,1,3,82,61,21,82,61,21,246,161,85,0.654,16.0,10.0,6.0,16.0,10.0,6.0,43.0,22.0,21.0,2004,IND,Pacers,IND2004,2004-2005,8.0,4.0,4.0,16.0,44.0,38.0,Second Round,1.0,0.0,11.0,3.0,2.0,26.7,82.0,53.0,29.0,3966.0,114.9,110.1,4.8,54.1,1.59,15.9,26.9,70.0,48.1,13.5,54.2,58.1,98.39,49.8
Mike Dunleavy,LAC,1,11,82,28,54,82,28,54,870,426,444,0.49,,,,,,,59.0,31.0,28.0,2004,LAC,Clippers,LAC2004,2004-2005,5.0,3.0,6.0,14.0,37.0,45.0,Lottery,0.0,0.0,7.0,4.0,3.0,25.3,82.0,39.0,43.0,3966.0,110.7,112.0,-1.3,57.8,1.9,17.0,26.8,73.1,49.5,12.2,51.4,55.4,99.18,48.6
Phil Jackson,LAL,5,14,82,56,26,410,287,123,1148,832,316,0.725,22.0,13.0,9.0,92.0,64.0,28.0,244.0,175.0,69.0,2004,LAL,Lakers,LAL2004,2004-2005,5.0,6.0,4.0,15.0,34.0,48.0,Lottery,1.0,0.0,10.0,1.0,4.0,25.8,82.0,48.0,34.0,3966.0,111.4,110.4,1.0,58.2,1.65,17.1,26.3,72.2,50.0,14.1,52.9,57.5,102.66,50.5
Hubie Brown,MEM,2,14,82,50,32,156,78,78,1075,523,552,0.48700000000000004,4.0,0.0,4.0,4.0,0.0,4.0,63.0,31.0,32.0,2004,MEM,Grizzlies,MEM2004,2004-2005,6.0,6.0,3.0,15.0,45.0,37.0,First Round,0.0,0.0,11.0,4.0,0.0,25.1,82.0,33.0,49.0,3976.0,105.6,108.0,-2.4,63.1,1.71,17.9,24.7,72.4,48.4,14.3,50.8,54.8,97.15,49.0
Stan Van Gundy,MIA,1,1,82,42,40,82,42,40,82,42,40,0.512,13.0,6.0,7.0,13.0,6.0,7.0,13.0,6.0,7.0,2004,MIA,Heat,MIA2004,2004-2005,3.0,3.0,9.0,15.0,59.0,23.0,Conference Finals,2.0,0.0,10.0,3.0,2.0,27.5,82.0,33.0,49.0,3951.0,110.7,112.0,-1.3,61.9,1.82,18.6,28.5,72.9,50.9,14.2,52.9,56.3,103.89,49.8
Terry Porter,MIL,1,1,82,41,41,82,41,41,82,41,41,0.5,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,2004,MIL,Bucks,MIL2004,2004-2005,3.0,6.0,5.0,14.0,30.0,52.0,Lottery,0.0,0.0,5.0,7.0,2.0,26.3,82.0,32.0,50.0,3986.0,110.2,112.9,-2.7,62.3,1.87,18.4,25.2,70.6,47.7,13.6,53.1,56.7,102.24,48.7
Flip Saunders,MIN,9,9,82,58,24,686,386,300,686,386,300,0.563,18.0,10.0,8.0,47.0,17.0,30.0,47.0,17.0,30.0,2004,MIN,Timberwolves,MIN2004,2004-2005,3.0,3.0,8.0,14.0,44.0,38.0,Lottery,1.0,0.0,10.0,2.0,2.0,28.3,82.0,58.0,24.0,3976.0,112.6,106.8,5.8,60.3,1.81,18.2,26.5,72.6,50.2,13.8,54.3,57.9,100.52,53.3
Byron Scott,NJN,4,4,42,22,20,288,149,139,288,149,139,0.517,,,,40.0,25.0,15.0,40.0,25.0,15.0,2004,NJN,Nets,NJN2004,2004-2005,5.0,2.0,7.0,14.0,42.0,40.0,First Round,1.0,0.0,9.0,4.0,1.0,27.1,82.0,17.0,65.0,3956.0,104.0,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14.0,49.0,52.9,100.16,44.2
Lawrence Frank,NJN,1,1,40,25,15,40,25,15,40,25,15,0.625,11.0,7.0,4.0,11.0,7.0,4.0,11.0,7.0,4.0,2004,NJN,Nets,NJN2004,2004-2005,5.0,2.0,7.0,14.0,42.0,40.0,First Round,1.0,0.0,9.0,4.0,1.0,27.1,82.0,17.0,65.0,3956.0,104.0,112.9,-8.9,52.5,1.43,14.9,26.4,71.7,48.6,14.0,49.0,52.9,100.16,44.2
Tim Floyd,NOH,1,5,82,41,41,82,41,41,321,90,231,0.28,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2004,NOH,Hornets,NOH2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Chaney,NYK,3,12,39,15,24,184,72,112,831,337,494,0.406,,,,,,,11.0,2.0,9.0,2004,NYK,NY Knicks,NYK2004,2004-2005,2.0,7.0,5.0,14.0,33.0,49.0,Lottery,0.0,0.0,9.0,3.0,2.0,26.5,82.0,39.0,43.0,3946.0,106.7,107.1,-0.4,61.2,1.65,17.6,29.1,73.1,50.9,14.9,51.5,54.2,98.74,50.1
Herb Williams,NYK,1,1,1,1,0,1,1,0,1,1,0,1.0,,,,,,,,,,2004,NYK,NY Knicks,NYK2004,2004-2005,2.0,7.0,5.0,14.0,33.0,49.0,Lottery,0.0,0.0,9.0,3.0,2.0,26.5,82.0,39.0,43.0,3946.0,106.7,107.1,-0.4,61.2,1.65,17.6,29.1,73.1,50.9,14.9,51.5,54.2,98.74,50.1
